No resistence,10K voltage,51K voltage,100K voltage,200K voltage,510K voltage,750K voltage,1M voltage,2.2M voltage
4.34,4.3,4.12,3.76,3.37,3.08,3,2.98,2.88
4.34,4.31,4.12,3.76,3.39,3.09,3.03,2.99,2.92
4.33,4.32,4.12,3.74,3.37,3.09,3.05,2.97,2.9
4.33,4.32,4.12,3.75,3.39,3.1,3.05,3,2.91
4.33,4.32,4.13,3.75,3.37,3.08,3.06,2.99,2.94
4.33,4.32,4.12,3.75,3.39,3.1,3.03,3.01,2.92
4.33,4.32,4.13,3.76,3.4,3.12,3.03,3.02,2.96
4.33,4.32,4.11,3.76,3.4,3.11,3.04,2.99,2.95
4.33,4.32,4.12,3.75,3.4,3.1,3.05,3.02,2.95
4.33,4.32,4.12,3.75,3.4,3.11,3.06,3.04,2.94
4.33,4.32,4.13,3.76,3.41,3.13,3.05,3.02,2.94
4.33,4.32,4.12,3.74,3.4,3.1,3.06,3,2.96
4.33,4.32,4.12,3.75,3.4,3.12,3.05,3.02,2.95
4.33,4.32,4.12,3.76,3.41,3.11,3.06,3.02,2.92
4.33,4.32,4.12,3.75,3.4,3.1,3.07,3.03,2.96
4.33,4.32,4.13,3.75,3.4,3.11,3.09,3.02,2.94
4.33,4.32,4.13,3.75,3.4,3.12,3.08,3.04,2.95
4.33,4.32,4.12,3.75,3.4,3.12,3.07,3,2.94
4.32,4.32,4.13,3.75,3.4,3.11,3.05,3.02,2.95
4.33,4.32,4.12,3.76,3.41,3.12,3.06,3.02,2.95
4.33,4.32,4.13,3.75,3.4,3.11,3.07,3.01,2.94
4.33,4.32,4.13,3.76,3.4,3.11,3.07,3.02,2.96
4.33,4.33,4.13,3.75,3.4,3.1,3.06,2.99,2.96
4.33,4.32,4.13,3.75,3.4,3.11,3.06,3,2.95
4.33,4.32,4.12,3.75,3.41,3.1,3.06,3.01,2.96
4.33,4.32,4.13,3.75,3.39,3.12,3.07,3.01,2.97
4.34,4.32,4.13,3.75,3.39,3.12,3.09,3.01,2.98
4.33,4.31,4.13,3.75,3.4,3.12,3.07,3.02,2.97
4.33,4.3,4.13,3.76,3.42,3.13,3.07,3.01,2.95
4.33,4.3,4.13,3.76,3.42,3.14,3.09,3.03,2.95
4.33,4.3,4.12,3.75,3.4,3.11,3.07,3.01,2.94
4.33,4.3,4.13,3.76,3.41,3.12,3.05,3.01,2.95
4.33,4.31,4.13,3.75,3.42,3.11,3.07,3.02,2.94
4.33,4.32,4.13,3.76,3.4,3.13,3.08,3.04,2.96
4.33,4.32,4.13,3.77,3.4,3.13,3.07,3.02,2.97
4.33,4.32,4.13,3.78,3.39,3.12,3.08,2.98,2.97
4.33,4.33,4.13,3.77,3.4,3.13,3.08,3,2.96
4.33,4.33,4.13,3.76,3.42,3.13,3.08,3,2.94
4.33,4.33,4.13,3.77,3.39,3.12,3.08,3.01,2.94
4.33,4.33,4.13,3.76,3.4,3.1,3.04,2.99,2.97
4.33,4.33,4.13,3.77,3.42,3.12,3.07,3.02,2.96
4.33,4.33,4.12,3.77,3.41,3.12,3.06,2.99,2.95
4.33,4.33,4.12,3.77,3.41,3.12,3.08,3.02,2.98
4.33,4.33,4.12,3.77,3.4,3.11,3.06,3.01,2.96
4.33,4.33,4.12,3.77,3.39,3.11,3.08,3.02,2.97
4.33,4.32,4.13,3.76,3.41,3.11,3.08,3,2.96
4.33,4.32,4.12,3.78,3.4,3.13,3.07,3,2.94
4.33,4.32,4.13,3.78,3.4,3.13,3.08,3.01,2.97
4.33,4.32,4.11,3.77,3.41,3.13,3.06,3,2.98
4.33,4.32,4.12,3.76,3.41,3.1,3.07,3,2.96
4.32,4.32,4.12,3.77,3.4,3.12,3.05,3.02,2.97
4.32,4.33,4.13,3.77,3.41,3.12,3.06,3.01,2.97
4.32,4.32,4.12,3.77,3.41,3.09,3.06,3.02,2.95
4.33,4.33,4.12,3.77,3.41,3.12,3.06,3,3
4.33,4.33,4.12,3.78,3.4,3.12,3.07,3.01,2.95
4.33,4.33,4.12,3.77,3.41,3.12,3.08,3.01,2.95
4.33,4.33,4.13,3.77,3.4,3.13,3.05,3.02,2.95
4.33,4.33,4.13,3.76,3.42,3.12,3.07,3,2.96
4.33,4.32,4.12,3.76,3.4,3.1,3.09,3.01,2.97
4.33,4.32,4.13,3.76,3.39,3.13,3.08,3.02,2.97
4.33,4.32,4.12,3.78,3.41,3.12,3.09,3.02,2.96
4.33,4.33,4.13,3.76,3.42,3.12,3.07,3.01,2.97
4.33,4.33,4.13,3.75,3.41,3.12,3.07,3.03,2.95
4.33,4.33,4.13,3.76,3.42,3.11,3.07,3.04,2.96
4.33,4.32,4.13,3.76,3.4,3.12,3.05,3.01,2.97
4.33,4.33,4.12,3.77,3.41,3.12,3.05,3.04,2.97
4.33,4.33,4.13,3.77,3.41,3.11,3.07,3.02,2.96
4.33,4.33,4.13,3.77,3.4,3.13,3.06,3.01,2.97
4.33,4.33,4.13,3.78,3.42,3.15,3.05,3.05,2.97
4.33,4.33,4.13,3.77,3.39,3.14,3.08,3.01,2.97
4.33,4.32,4.13,3.77,3.39,3.13,3.07,3,2.96
4.33,4.32,4.12,3.76,3.41,3.14,3.06,3,2.98
4.33,4.32,4.13,3.75,3.41,3.13,3.06,3.02,2.97
4.32,4.32,4.13,3.76,3.42,3.13,3.08,3.02,2.95
4.32,4.33,4.13,3.78,3.4,3.14,3.07,3.03,2.97
4.31,4.32,4.13,3.76,3.4,3.12,3.08,3.03,2.94
4.3,4.33,4.13,3.77,3.41,3.14,3.07,3,2.99
4.3,4.33,4.13,3.76,3.4,3.15,3.06,3.04,2.95
4.29,4.33,4.13,3.76,3.42,3.13,3.07,3.03,2.97
4.31,4.33,4.13,3.77,3.41,3.14,3.08,3.06,2.96
4.32,4.33,4.13,3.77,3.4,3.13,3.07,3.03,2.95
4.32,4.33,4.13,3.75,3.41,3.12,3.07,3.04,2.94
4.33,4.33,4.12,3.78,3.42,3.13,3.06,3.03,2.96
4.33,4.33,4.12,3.77,3.41,3.14,3.07,3.03,2.99
4.33,4.33,4.12,3.76,3.41,3.12,3.08,3.03,2.97
4.33,4.33,4.12,3.77,3.42,3.14,3.07,3.04,2.97
4.33,4.33,4.13,3.76,3.42,3.14,3.06,3.04,2.98
4.34,4.33,4.12,3.77,3.42,3.15,3.07,3.02,2.94
4.33,4.33,4.13,3.76,3.41,3.14,3.07,3.04,2.98
4.34,4.33,4.11,3.78,3.41,3.13,3.05,3.03,2.96
4.33,4.32,4.12,3.76,3.41,3.13,3.06,3.03,2.96
4.33,4.32,4.12,3.76,3.41,3.15,3.08,3.04,2.97
4.33,4.32,4.13,3.76,3.41,3.13,3.07,3.02,2.96
4.33,4.33,4.12,3.76,3.41,3.14,3.07,3.02,2.96
4.33,4.32,4.12,3.76,3.42,3.13,3.08,3.04,2.97
4.33,4.33,4.12,3.77,3.42,3.13,3.08,3.04,2.96
4.33,4.33,4.12,3.78,3.4,3.14,3.07,3.04,2.96
4.33,4.33,4.13,3.77,3.42,3.13,3.07,3.03,2.96
4.33,4.33,4.13,3.75,3.42,3.13,3.07,3.02,2.97
4.33,4.32,4.12,3.77,3.4,3.14,3.07,3.03,2.97
